chinese_char,source_syllable,p_syllable_given_char,path
連,rad,0.0186,direct
連,raj,0.0186,direct
連,rañ,0.0186,direct
連,raṃ,0.0186,direct
連,raṅ,0.0186,direct
逮,ta,0.2285,lhan_backoff
逮,da,0.1125,lhan_backoff
逮,ti,0.1037,lhan_backoff
逮,ḍa,0.0598,lhan_backoff
逮,dha,0.0475,lhan_backoff
逸,ya,0.6259,lhan_backoff
逸,yā,0.0863,lhan_backoff
逸,yan,0.0576,lhan_backoff
逸,yak,0.0432,lhan_backoff
逸,yu,0.036,lhan_backoff
逼,pa,0.134,lhan_backoff
逼,pā,0.1275,lhan_backoff
逼,pu,0.0752,lhan_backoff
逼,pi,0.0523,lhan_backoff
逼,bha,0.0425,lhan_backoff
遇,kra,0.0092,direct
遇,sro,0.0092,direct
遇,ña,0.0092,direct
遇,ñā,0.0092,direct
遇,śma,0.0092,direct
遊,kra,0.0092,direct
遊,sro,0.0092,direct
遊,ña,0.0092,direct
遊,ñā,0.0092,direct
遊,śma,0.0092,direct
道,ṇa,0.1375,direct
道,ṇe,0.0799,direct
道,ṇi,0.0711,direct
道,ṇā,0.061,direct
道,ṇī,0.0513,direct
達,dhar,0.0988,direct
達,dat,0.0622,direct
達,dha,0.0564,direct
達,dhār,0.047,direct
達,ḍi,0.0417,direct
遬,sa,0.1126,lhan_backoff
遬,ṣa,0.0852,lhan_backoff
遬,su,0.0852,lhan_backoff
遬,ṣi,0.0797,lhan_backoff
遬,saṃ,0.0797,lhan_backoff
遮,ca,0.1704,direct
遮,cā,0.1105,direct
遮,cār,0.0672,direct
遮,cak,0.0608,direct
遮,cit,0.0608,direct
邏,la,0.048,direct
邏,lan,0.0342,direct
邏,le,0.0342,direct
邏,lak,0.0332,direct
邏,lum,0.0332,direct
邠,pas,0.0206,direct
邠,paṃ,0.0206,direct
邠,pit,0.0206,direct
邠,put,0.0206,direct
邠,puṣ,0.0206,direct
那,na,0.0778,direct
那,nā,0.0655,direct
那,ṇa,0.0539,direct
那,ṇā,0.0499,direct
那,nabh,0.0489,direct
邪,ya,0.6259,lhan_backoff
邪,yā,0.0863,lhan_backoff
邪,yan,0.0576,lhan_backoff
邪,yak,0.0432,lhan_backoff
邪,yu,0.036,lhan_backoff
郁,ut,0.1205,direct
郁,an,0.0246,direct
郁,e,0.0246,direct
郁,iṣ,0.0246,direct
郁,om,0.0246,direct
郅,ca,0.1805,lhan_backoff
郅,ja,0.0977,lhan_backoff
郅,cā,0.0752,lhan_backoff
郅,jā,0.0677,lhan_backoff
郅,cī,0.0677,lhan_backoff
郝,ha,0.1139,direct
郝,hatt,0.0422,direct
郝,has,0.04,direct
郝,hat,0.04,direct
郝,haṃ,0.04,direct
部,da,0.046,direct
部,dan,0.0337,direct
部,dar,0.0337,direct
部,deḥ,0.0337,direct
部,dit,0.0337,direct
都,tu,0.1677,direct
都,tum,0.0738,direct
都,tam,0.0367,direct
都,tañ,0.0367,direct
都,tuj,0.0367,direct
鄔,u,0.0931,direct
鄔,an,0.0347,direct
鄔,e,0.0347,direct
鄔,iṣ,0.0347,direct
鄔,om,0.0347,direct
鄰,lin,0.1648,direct
鄰,lan,0.0463,direct
鄰,le,0.0463,direct
鄰,lak,0.045,direct
鄰,lum,0.045,direct
酌,ca,0.0918,direct
酌,cak,0.0505,direct
酌,cit,0.0505,direct
酌,caṇ,0.0478,direct
酌,ciṣ,0.0478,direct
酸,svaṃ,0.1494,direct
酸,svā,0.1494,direct
酸,kra,0.0065,direct
酸,sro,0.0065,direct
酸,ña,0.0065,direct
醝,tsa,0.5004,direct
醯,heś,0.1935,direct
醯,hatt,0.0504,direct
醯,has,0.0477,direct
醯,hat,0.0477,direct
醯,haṃ,0.0477,direct
釋,śāk,0.1355,direct
釋,śāst,0.0711,direct
釋,śam,0.0352,direct
釋,śat,0.0352,direct
釋,śud,0.0352,direct
里,li,0.1421,direct
里,lan,0.0467,direct
里,le,0.0467,direct
里,lak,0.0453,direct
里,lum,0.0453,direct
野,ya,0.0889,direct
野,yan,0.0357,direct
野,yast,0.0357,direct
野,yaḥ,0.0357,direct
野,yut,0.0357,direct
釐,rad,0.0276,direct
釐,raj,0.0276,direct
釐,rañ,0.0276,direct
釐,raṃ,0.0276,direct
釐,raṅ,0.0276,direct
金,guh,0.0816,direct
金,gī,0.0209,direct
金,gar,0.0201,direct
金,gañ,0.0201,direct
金,gaḥ,0.0201,direct
鉢,pri,0.1801,direct
鉢,pra,0.088,direct
鉢,pa,0.0554,direct
鉢,praj,0.0506,direct
鉢,prat,0.0506,direct
銘,mak,0.0192,direct
銘,mat,0.0192,direct
銘,maṃ,0.0192,direct
銘,miṃ,0.0192,direct
銘,mū,0.0192,direct
鍵,gha,0.2791,direct
鍵,ghu,0.1099,direct
鍵,ghā,0.0583,direct
鍵,kra,0.0051,direct
鍵,sro,0.0051,direct
鐸,kra,0.0092,direct
鐸,sro,0.0092,direct
鐸,ña,0.0092,direct
鐸,ñā,0.0092,direct
鐸,śma,0.0092,direct
鑁,vaṃ,0.1275,direct
鑁,vast,0.0314,direct
鑁,vat,0.0314,direct
鑁,vī,0.0314,direct
鑁,vaj,0.0302,direct
鑠,sat,0.0225,direct
鑠,saṃg,0.0225,direct
鑠,sūt,0.0225,direct
鑠,sad,0.022,direct
鑠,saun,0.022,direct
長,dīr,0.1371,direct
長,dan,0.0324,direct
長,dar,0.0324,direct
長,deḥ,0.0324,direct
長,dit,0.0324,direct
門,kra,0.0092,direct
門,sro,0.0092,direct
門,ña,0.0092,direct
門,ñā,0.0092,direct
門,śma,0.0092,direct
閉,pas,0.0206,direct
閉,paṃ,0.0206,direct
閉,pit,0.0206,direct
閉,put,0.0206,direct
閉,puṣ,0.0206,direct
閦,śa,0.0687,direct
閦,śam,0.0281,direct
閦,śat,0.0281,direct
閦,śud,0.0281,direct
閦,śai,0.0271,direct
閭,ra,0.3703,lhan_backoff
閭,la,0.1698,lhan_backoff
閭,rī,0.0849,lhan_backoff
閭,ru,0.0825,lhan_backoff
閭,rā,0.0684,lhan_backoff
閻,jam,0.1317,direct
閻,ja,0.0872,direct
閻,jai,0.0312,direct
閻,jo,0.0312,direct
閻,ya,0.0298,direct
閼,an,0.0197,direct
閼,e,0.0197,direct
閼,iṣ,0.0197,direct
閼,om,0.0197,direct
閼,ḹ,0.0197,direct
闇,an,0.0197,direct
闇,e,0.0197,direct
闇,iṣ,0.0197,direct
闇,om,0.0197,direct
闇,ḹ,0.0197,direct
闌,ra,0.3703,lhan_backoff
闌,la,0.1698,lhan_backoff
闌,rī,0.0849,lhan_backoff
闌,ru,0.0825,lhan_backoff
闌,rā,0.0684,lhan_backoff
闍,cār,0.0817,direct
闍,jā,0.0796,direct
闍,ja,0.0643,direct
闍,jha,0.0535,direct
闍,cā,0.05,direct
闡,kra,0.0092,direct
闡,sro,0.0092,direct
闡,ña,0.0092,direct
闡,ñā,0.0092,direct
闡,śma,0.0092,direct
阿,a,0.0618,direct
阿,ā,0.0564,direct
阿,aś,0.0409,direct
阿,ām,0.0409,direct
阿,ap,0.0393,direct
陀,dā,0.0691,direct
陀,da,0.0668,direct
陀,dhā,0.041,direct
陀,dha,0.0378,direct
陀,dan,0.0362,direct
陁,dhā,0.1422,direct
陁,dhu,0.0527,direct
陁,dhuś,0.0527,direct
陁,dhān,0.0527,direct
陁,dhār,0.0499,direct
陂,pa,0.134,lhan_backoff
陂,pā,0.1275,lhan_backoff
陂,pu,0.0752,lhan_backoff
陂,pi,0.0523,lhan_backoff
陂,bha,0.0425,lhan_backoff
陛,bhai,0.1693,direct
陛,bhaṅ,0.0452,direct
陛,bhuk,0.0452,direct
陛,bhās,0.0452,direct
陛,bhe,0.0425,direct
隙,kha,0.1833,direct
隙,khak,0.1057,direct
隙,khā,0.0965,direct
隙,kra,0.0057,direct
隙,sro,0.0057,direct
際,kra,0.0092,direct
際,sro,0.0092,direct
際,ña,0.0092,direct
際,ñā,0.0092,direct
際,śma,0.0092,direct
隣,din,0.1069,direct
隣,dan,0.0262,direct
隣,dar,0.0262,direct
隣,deḥ,0.0262,direct
隣,dit,0.0262,direct
集,kra,0.0092,direct
集,sro,0.0092,direct
集,ña,0.0092,direct
集,ñā,0.0092,direct
集,śma,0.0092,direct
雞,kī,0.0824,direct
雞,ke,0.0497,direct
雞,kak,0.0289,direct
雞,kau,0.0289,direct
雞,kaṃ,0.0289,direct
離,li,0.106,direct
離,lī,0.0815,direct
離,lan,0.0469,direct
離,le,0.0469,direct
離,lak,0.0455,direct
難,nan,0.2155,direct
難,nim,0.0463,direct
難,nir,0.0463,direct
難,nur,0.0463,direct
難,nai,0.0453,direct
雨,var,0.1506,direct
雨,vast,0.0396,direct
雨,vat,0.0396,direct
雨,vī,0.0396,direct
雨,vaj,0.038,direct
雲,va,0.3273,lhan_backoff
雲,vi,0.1455,lhan_backoff
雲,ve,0.1,lhan_backoff
雲,vai,0.0909,lhan_backoff
雲,vā,0.0818,lhan_backoff
鞞,kra,0.0092,direct
鞞,sro,0.0092,direct
鞞,ña,0.0092,direct
鞞,ñā,0.0092,direct
鞞,śma,0.0092,direct
鞠,gup,0.1248,direct
鞠,gī,0.032,direct
鞠,gar,0.0307,direct
鞠,gañ,0.0307,direct
鞠,gaḥ,0.0307,direct
鞮,ta,0.2285,lhan_backoff
鞮,da,0.1125,lhan_backoff
鞮,ti,0.1037,lhan_backoff
鞮,ḍa,0.0598,lhan_backoff
鞮,dha,0.0475,lhan_backoff
韓,ka,0.3398,lhan_backoff
韓,ga,0.145,lhan_backoff
韓,ku,0.0844,lhan_backoff
韓,kā,0.039,lhan_backoff
韓,kha,0.0368,lhan_backoff
頂,kra,0.0092,direct
頂,sro,0.0092,direct
頂,ña,0.0092,direct
頂,ñā,0.0092,direct
頂,śma,0.0092,direct
須,su,0.118,direct
須,sat,0.0394,direct
須,saṃg,0.0394,direct
須,sūt,0.0394,direct
須,sad,0.0385,direct
頓,ta,0.2285,lhan_backoff
頓,da,0.1125,lhan_backoff
頓,ti,0.1037,lhan_backoff
頓,ḍa,0.0598,lhan_backoff
頓,dha,0.0475,lhan_backoff
頗,pha,0.3258,direct
頗,phi,0.1269,direct
頗,kra,0.0051,direct
頗,sro,0.0051,direct
頗,ña,0.0051,direct
頞,an,0.0197,direct
頞,e,0.0197,direct
頞,iṣ,0.0197,direct
頞,om,0.0197,direct
頞,ḹ,0.0197,direct
頭,da,0.123,direct
頭,dan,0.0508,direct
頭,dar,0.0508,direct
頭,deḥ,0.0508,direct
頭,dit,0.0508,direct
頻,bi,0.1701,direct
頻,vil,0.0494,direct
頻,bim,0.0381,direct
頻,be,0.0352,direct
頻,bār,0.0352,direct
頼,ra,0.3703,lhan_backoff
頼,la,0.1698,lhan_backoff
頼,rī,0.0849,lhan_backoff
頼,ru,0.0825,lhan_backoff
頼,rā,0.0684,lhan_backoff
題,ta,0.2285,lhan_backoff
題,da,0.1125,lhan_backoff
題,ti,0.1037,lhan_backoff
題,ḍa,0.0598,lhan_backoff
題,dha,0.0475,lhan_backoff
顛,tam,0.0258,direct
顛,tañ,0.0258,direct
顛,tuj,0.0258,direct
顛,tāj,0.0258,direct
顛,tatk,0.0253,direct
類,ra,0.3703,lhan_backoff
類,la,0.1698,lhan_backoff
類,rī,0.0849,lhan_backoff
類,ru,0.0825,lhan_backoff
類,rā,0.0684,lhan_backoff
颯,sat,0.0225,direct
颯,saṃg,0.0225,direct
颯,sūt,0.0225,direct
颯,sad,0.022,direct
颯,saun,0.022,direct
首,śū,0.1045,direct
首,śu,0.1009,direct
首,śam,0.0352,direct
首,śat,0.0352,direct
首,śud,0.0352,direct
香,gan,0.1207,direct
香,gī,0.0321,direct
香,gar,0.0308,direct
香,gañ,0.0308,direct
香,gaḥ,0.0308,direct
馬,ma,0.4618,lhan_backoff
馬,mā,0.1606,lhan_backoff
馬,mu,0.0964,lhan_backoff
馬,mi,0.0723,lhan_backoff
馬,madh,0.0321,lhan_backoff
馱,dhā,0.1673,direct
馱,dha,0.1229,direct
馱,dhu,0.0878,direct
馱,dhuś,0.0878,direct
馱,dhān,0.0878,direct
駄,dha,0.1075,direct
駄,dhu,0.0543,direct
駄,dhuś,0.0543,direct
駄,dhān,0.0543,direct
駄,dhār,0.0514,direct
駒,kak,0.0156,direct
駒,kau,0.0156,direct
駒,kaṃ,0.0156,direct
駒,kum,0.0156,direct
駒,kun,0.0156,direct
駛,kra,0.0092,direct
駛,sro,0.0092,direct
駛,ña,0.0092,direct
駛,ñā,0.0092,direct
駛,śma,0.0092,direct
骨,ka,0.3398,lhan_backoff
骨,ga,0.145,lhan_backoff
骨,ku,0.0844,lhan_backoff
骨,kā,0.039,lhan_backoff
骨,kha,0.0368,lhan_backoff
高,gau,0.154,direct
高,gī,0.0404,direct
高,gar,0.0388,direct
高,gañ,0.0388,direct
高,gaḥ,0.0388,direct
髯,ja,0.1441,direct
髯,jai,0.0515,direct
髯,jam,0.0515,direct
髯,jo,0.0515,direct
髯,ji,0.0484,direct
髻,ke,0.1023,direct
髻,kak,0.0291,direct
髻,kau,0.0291,direct
髻,kaṃ,0.0291,direct
髻,kum,0.0291,direct
鬭,tam,0.0258,direct
鬭,tañ,0.0258,direct
鬭,tuj,0.0258,direct
鬭,tāj,0.0258,direct
鬭,tatk,0.0253,direct
鬱,ut,0.1003,direct
鬱,u,0.0485,direct
鬱,uḍ,0.0482,direct
鬱,an,0.0347,direct
鬱,e,0.0347,direct
鬼,kra,0.0092,direct
鬼,sro,0.0092,direct
鬼,ña,0.0092,direct
鬼,ñā,0.0092,direct
鬼,śma,0.0092,direct
魔,mak,0.0192,direct
魔,mat,0.0192,direct
魔,maṃ,0.0192,direct
魔,miṃ,0.0192,direct
魔,mū,0.0192,direct
魯,rad,0.0186,direct
魯,raj,0.0186,direct
魯,rañ,0.0186,direct
魯,raṃ,0.0186,direct
魯,raṅ,0.0186,direct
鳥,an,0.0197,direct
鳥,e,0.0197,direct
鳥,iṣ,0.0197,direct
鳥,om,0.0197,direct
鳥,ḹ,0.0197,direct
鳩,ku,0.1036,direct
鳩,kū,0.0459,direct
鳩,kak,0.0255,direct
鳩,kau,0.0255,direct
鳩,kaṃ,0.0255,direct
鴆,hāṃ,0.1548,direct
鴆,hatt,0.0408,direct
鴆,has,0.0386,direct
鴆,hat,0.0386,direct
鴆,haṃ,0.0386,direct
鴦,aṅ,0.1135,direct
鴦,aṅg,0.0544,direct
鴦,an,0.0304,direct
鴦,e,0.0304,direct
鴦,iṣ,0.0304,direct
鹽,ya,0.6259,lhan_backoff
鹽,yā,0.0863,lhan_backoff
鹽,yan,0.0576,lhan_backoff
鹽,yak,0.0432,lhan_backoff
鹽,yu,0.036,lhan_backoff
鹿,kra,0.0092,direct
鹿,sro,0.0092,direct
鹿,ña,0.0092,direct
鹿,ñā,0.0092,direct
鹿,śma,0.0092,direct
麟,ra,0.3703,lhan_backoff
麟,la,0.1698,lhan_backoff
麟,rī,0.0849,lhan_backoff
麟,ru,0.0825,lhan_backoff
麟,rā,0.0684,lhan_backoff
麻,ma,0.4618,lhan_backoff
麻,mā,0.1606,lhan_backoff
麻,mu,0.0964,lhan_backoff
麻,mi,0.0723,lhan_backoff
麻,madh,0.0321,lhan_backoff
麼,ba,0.097,direct
麼,bim,0.0305,direct
麼,ma,0.0291,direct
麼,be,0.0282,direct
麼,bār,0.0282,direct
黎,ṭī,0.1519,direct
黎,ṭi,0.0464,direct
黎,ṭan,0.0433,direct
黎,ṭā,0.0433,direct
黎,rad,0.0194,direct
黑,a,0.2218,lhan_backoff
黑,u,0.1479,lhan_backoff
黑,ā,0.144,lhan_backoff
黑,hā,0.0778,lhan_backoff
黑,i,0.0467,lhan_backoff
鼓,ka,0.3398,lhan_backoff
鼓,ga,0.145,lhan_backoff
鼓,ku,0.0844,lhan_backoff
鼓,kā,0.039,lhan_backoff
鼓,kha,0.0368,lhan_backoff
鼻,vi,0.0594,direct
鼻,vast,0.0229,direct
鼻,vat,0.0229,direct
鼻,vī,0.0229,direct
鼻,vaj,0.0219,direct
龍,kra,0.0092,direct
龍,sro,0.0092,direct
龍,ña,0.0092,direct
龍,ñā,0.0092,direct
龍,śma,0.0092,direct
