trad,simp,skt,n_chars,n_syl,n_aligned,char_syl_ratio,phon_score,align,pos,label
炷,炷,vartikā,1,3,0,0.333,0.0,length_mismatch,noun,calque
烈,烈,tīvra,1,2,1,0.5,1.0,off_by_one,adjective,calque
現證,现证,sākṣātkriyā,2,4,0,0.5,0.0,length_mismatch,phrase,calque
密跡,密迹,guhyaka,2,3,2,0.667,0.5,off_by_one,phrase,calque
煗,煗,uṣma,1,2,1,0.5,0.0,off_by_one,noun,calque
煗位,煗位,uṣma-gata,2,4,0,0.5,0.0,length_mismatch,phrase,calque
煖,煖,uṣma,1,2,1,0.5,1.0,off_by_one,noun,calque
煖法,煖法,uṣma-gata,2,4,0,0.5,0.0,length_mismatch,phrase,calque
頂,顶,mūrdhan,1,2,1,0.5,0.0,off_by_one,noun,calque
頂位,顶位,mūrdhan,2,2,2,1.0,0.5,exact,noun,calque
頂法,顶法,mūrdhan,2,2,2,1.0,0.0,exact,noun,calque
頂門,顶门,mūrdhan,2,2,2,1.0,0.0,exact,noun,calque
忍法,忍法,kṣānti,2,2,2,1.0,0.0,exact,phrase,calque
忍法位,忍法位,kṣānti,3,2,2,1.5,0.0,off_by_one,phrase,calque
世第一法,世第一法,laukikāgryadharma,4,6,0,0.667,0.0,length_mismatch,phrase,calque
焚,焚,dah,1,1,1,1.0,0.0,exact,verb,calque
焦,焦,dagdha,1,2,1,0.5,0.0,off_by_one,adjective,calque
然,然,vā,1,1,1,1.0,0.0,exact,adverb,calque
煈,煈,śikhā,1,2,1,0.5,0.0,off_by_one,noun,calque
身證,身证,kāyasākṣin,2,4,0,0.5,0.0,length_mismatch,phrase,calque
煉金匠,炼金匠,sauvarṇika,3,4,3,0.75,0.0,off_by_one,noun,calque
出罪,出罪,āvarhaṇa,2,4,0,0.5,0.0,length_mismatch,phrase,calque
煎,煎,kvathita,1,3,0,0.333,0.0,length_mismatch,verb,calque
慧印,慧印,jñāna-mudrā,2,4,0,0.5,0.0,length_mismatch,proper noun,calque
智印,智印,jñāna-mudrā,2,4,0,0.5,0.0,length_mismatch,proper noun,calque
煮,煮,pac,1,1,1,1.0,0.0,exact,verb,calque
男根,男根,puruṣendriya,2,5,0,0.4,0.0,length_mismatch,noun,calque
熙,熙,prahasita,1,4,0,0.25,0.0,length_mismatch,adjective,calque
煙,烟,dhūma,1,2,1,0.5,1.0,off_by_one,noun,calque
不時解脫,不时解脱,asamayavimukta,4,7,0,0.571,0.0,length_mismatch,phrase,calque
聖僧,圣僧,āryasaṃgha,2,4,0,0.5,0.0,length_mismatch,phrase,calque
煠食,煠食,apūpa,2,3,2,0.667,0.0,off_by_one,noun,calque
煥明,焕明,sphuṭ,2,1,1,2.0,1.0,off_by_one,verb,calque
煨,煨,kṣāra,1,2,1,0.5,0.0,off_by_one,verb,calque
同品,同品,sapakṣa,2,3,2,0.667,0.5,off_by_one,phrase,calque
煻,煻,uṣṇa,1,2,1,0.5,0.0,off_by_one,verb,calque
熊,熊,ṛkṣa,1,2,1,0.5,1.0,off_by_one,noun,calque
熊,熊,tarakṣu,1,3,0,0.333,0.0,length_mismatch,noun,calque
熒,荧,prabhā,1,2,1,0.5,0.0,off_by_one,verb,calque
熟,熟,paricaya,1,4,0,0.25,0.0,length_mismatch,adjective,calque
熠燿,熠燿,kṛmi,2,2,2,1.0,0.0,exact,noun,calque
熬,熬,kvāthayitavya,1,5,0,0.2,0.0,length_mismatch,verb,calque
燃,燃,jval,1,1,1,1.0,0.0,exact,verb,calque
尼姑,尼姑,bhikṣuṇī,2,3,1,0.667,1.0,off_by_one,noun,calque
燄,燄,arcis,1,2,1,0.5,1.0,off_by_one,noun,calque
燋,燋,tap,1,1,1,1.0,1.0,exact,verb,calque
營,营,vaiyāvṛtya,1,3,0,0.333,0.0,length_mismatch,verb,calque
燥,燥,śuṣka,1,2,1,0.5,1.0,off_by_one,adjective,calque
燧,燧,kāṇḍa,1,2,1,0.5,0.0,off_by_one,noun,calque
燭,烛,dīpa,1,2,1,0.5,0.0,off_by_one,noun,calque
燸,燸,uṣmagata,1,4,0,0.25,0.0,length_mismatch,verb,calque
燼,烬,maṣi,1,2,1,0.5,1.0,off_by_one,noun,calque
爆,爆,kṣubh,1,1,1,1.0,0.0,exact,verb,calque
成熟,成熟,tṛpti,2,2,2,1.0,0.0,exact,adjective,calque
外入,外入,bāhyāyatana,2,5,0,0.4,0.0,length_mismatch,phrase,calque
外方,外方,bahis,2,2,2,1.0,0.0,exact,noun,calque
外相,外相,bāhya-nimitta,2,5,0,0.4,0.0,length_mismatch,noun,calque
外稼成熟門,外稼成熟门,bahirdhā sasya-niṣpatti-mukhena,5,11,0,0.455,0.0,length_mismatch,phrase,calque
內思,内思,vicāra,2,3,2,0.667,0.5,off_by_one,phrase,calque
文殊師利童真,文殊师利童真,mañjuśrī,6,3,0,2.0,0.0,length_mismatch,phrase,calque
爇,爇,hu,1,1,1,1.0,0.0,exact,verb,calque
孺童文殊菩薩,孺童文殊菩萨,mañjuśrī,6,3,0,2.0,0.0,length_mismatch,proper noun,calque
爛,烂,kleda,1,2,1,0.5,1.0,off_by_one,adjective,calque
凡愚,凡愚,bālapṛthagjana,2,6,0,0.333,0.0,length_mismatch,phrase,calque
爪,爪,nakha,1,2,1,0.5,1.0,off_by_one,noun,calque
爭,争,vivāda,1,3,0,0.333,0.0,length_mismatch,noun,calque
補,补,siv,1,1,1,1.0,0.0,exact,verb,calque
體格,体格,prathamā,2,3,2,0.667,0.5,off_by_one,noun,calque
為,为,bhū,1,1,1,1.0,1.0,exact,verb,calque
體聲,体声,prathamā,2,3,2,0.667,0.5,off_by_one,noun,calque
汎說聲,汎说声,prathamā,3,3,3,1.0,0.333,exact,noun,calque
業格,业格,dvitīyā,2,3,2,0.667,0.0,off_by_one,noun,calque
業聲,业声,dvitīyā,2,3,2,0.667,0.5,off_by_one,noun,calque
爺,爷,tāta,1,2,1,0.5,0.0,off_by_one,noun,calque
用格,用格,dvitīyā,2,3,2,0.667,0.5,off_by_one,noun,calque
片,片,khaṇḍa,1,2,1,0.5,0.0,off_by_one,noun,calque
牀,牀,paryaṅka,1,3,0,0.333,0.0,length_mismatch,noun,calque
牆,墙,kuḍya,1,2,1,0.5,1.0,off_by_one,noun,calque
牉合,牉合,cohabitation,2,6,0,0.333,0.0,length_mismatch,phrase,calque
牖,牖,gavākṣa,1,3,0,0.333,0.0,length_mismatch,noun,calque
牝,牝,aṅganā,1,3,0,0.333,0.0,length_mismatch,noun,calque
悉曇,悉昙,siddhaṃ,2,2,2,1.0,0.5,exact,proper noun,calque
牢,牢,dṛḍha,1,1,1,1.0,1.0,exact,adjective,calque
牧牛,牧牛,gopāla,2,3,1,0.667,1.0,off_by_one,noun,calque
物,物,vastu,1,2,1,0.5,0.0,off_by_one,noun,calque
陀羅驃,陀罗骠,dravya,3,2,2,1.5,0.5,off_by_one,noun,calque
牸牛,牸牛,gavī,2,2,2,1.0,0.0,exact,noun,calque
特,特,gava,1,2,1,0.5,0.0,off_by_one,noun,calque
牽,牵,ākarṣa,1,3,0,0.333,0.0,length_mismatch,verb,calque
犀,犀,khaḍga,1,2,1,0.5,0.0,off_by_one,noun,calque
犁,犁,lāṅgala,1,3,0,0.333,0.0,length_mismatch,noun,calque
犂,犂,lāṅgala,1,3,0,0.333,0.0,length_mismatch,noun,calque
犎,犎,kakuda,1,3,0,0.333,0.0,length_mismatch,noun,calque
四兵,四兵,caturaṅgabala,2,6,0,0.333,0.0,length_mismatch,phrase,calque
犛牛,犛牛,camara,2,3,2,0.667,0.0,off_by_one,noun,calque
犢,犊,vatsa,1,2,1,0.5,1.0,off_by_one,noun,calque
舌根,舌根,jihvendriyam,2,4,0,0.5,0.0,length_mismatch,phrase,calque
犬,犬,kukkura,1,3,0,0.333,0.0,length_mismatch,noun,calque
德光,德光,puṇyaraśmi,2,4,0,0.5,0.0,length_mismatch,proper noun,calque
犯,犯,āpatti,1,3,0,0.333,0.0,length_mismatch,verb,calque
犲,犲,ṛkṣa,1,2,1,0.5,0.0,off_by_one,noun,calque
狀,状,liṅga,1,2,1,0.5,0.0,off_by_one,noun,calque
狂,狂,unmatta,1,3,0,0.333,0.0,length_mismatch,adjective,calque
狎,狎,saṃsṛṣṭa,1,3,0,0.333,0.0,length_mismatch,verb,calque
阿波波地獄,阿波波地狱,ababa,5,3,0,1.667,0.0,length_mismatch,proper noun,calque
狐,狐,jambūka,1,3,0,0.333,0.0,length_mismatch,noun,calque
狗,狗,kukkura,1,3,0,0.333,0.0,length_mismatch,noun,calque
繩床,绳床,pīṭha,2,2,2,1.0,0.5,exact,noun,calque
坐床,坐床,pīṭha,2,2,2,1.0,0.5,exact,noun,calque
狡,狡,rabhasa,1,3,0,0.333,0.0,length_mismatch,adjective,calque
坐禪床,坐禅床,pīṭha,3,2,2,1.5,0.5,off_by_one,noun,calque
胡床,胡床,pīṭha,2,2,2,1.0,0.5,exact,noun,calque
狸,狸,jambuka,1,3,0,0.333,0.0,length_mismatch,noun,calque
私,私,sva,1,1,1,1.0,1.0,exact,adjective,calque
交床,交床,pīṭha,2,2,2,1.0,0.5,exact,noun,calque
狹,狭,avipula,1,4,0,0.25,0.0,length_mismatch,adjective,calque
狼,狼,vṛka,1,2,1,0.5,0.0,off_by_one,noun,calque
狷,狷,tīvra,1,2,1,0.5,0.0,off_by_one,adjective,calque
猗,猗,praśrabdhi,1,3,0,0.333,0.0,length_mismatch,noun,calque
化城,化城,ṛddhimaya-nagara,2,7,0,0.286,0.0,length_mismatch,phrase,calque
猛,猛,tīvra,1,2,1,0.5,0.0,off_by_one,adjective,calque
方便智,方便智,upāyajñāna,3,5,0,0.6,0.0,length_mismatch,phrase,calque
猜,猜,tarka,1,2,1,0.5,0.0,off_by_one,verb,calque
猨猴,猨猴,vānara,2,3,2,0.667,0.5,off_by_one,noun,calque
豬,猪,varāha,1,3,0,0.333,0.0,length_mismatch,noun,calque
貓,猫,mārjāra,1,3,0,0.333,0.0,length_mismatch,noun,calque
猴,猴,vānara,1,3,0,0.333,0.0,length_mismatch,noun,calque
猶,犹,yathā,1,2,1,0.5,1.0,off_by_one,adverb,calque
猾,猾,dainya,1,2,1,0.5,0.0,off_by_one,adjective,calque
猿猴,猿猴,kapi,2,2,2,1.0,0.0,exact,noun,calque
獄,狱,cāraka,1,3,0,0.333,0.0,length_mismatch,noun,calque
獅,狮,siṃha,1,2,1,0.5,1.0,off_by_one,noun,calque
獅子,狮子,siṃha,2,2,2,1.0,0.5,exact,noun,calque
獨,独,eka,1,2,1,0.5,0.0,off_by_one,adjective,calque
獮猴,獮猴,eka,2,2,2,1.0,0.5,exact,noun,calque
獲,获,labh,1,1,1,1.0,0.0,exact,verb,calque
獵,猎,mṛgayā,1,3,0,0.333,0.0,length_mismatch,verb,calque
明白,明白,uttāna,2,3,2,0.667,0.0,off_by_one,adjective,calque
獺,獭,udra,1,2,1,0.5,1.0,off_by_one,noun,calque
獻,献,arpaṇa,1,3,0,0.333,0.0,length_mismatch,verb,calque
廣長舌相,广长舌相,prabhūtatanujihva,4,7,0,0.571,0.0,length_mismatch,phrase,calque
玅,玅,mañju,1,2,1,0.5,1.0,off_by_one,adjective,calque
玆,玆,etad,1,2,1,0.5,0.0,off_by_one,pronoun,calque
金地國,金地国,Suvarṇabhūmi,3,5,0,0.6,0.0,length_mismatch,proper noun,calque
玉,玉,sphaṭika,1,3,0,0.333,0.0,length_mismatch,noun,calque
玩,玩,ārāma,1,3,0,0.333,0.0,length_mismatch,verb,calque
護者,护者,rākṣasa,2,3,2,0.667,0.5,off_by_one,noun,calque
玻璃,玻璃,sphaṭika,2,3,2,0.667,0.0,off_by_one,noun,calque
信力,信力,śraddhābala,2,4,0,0.5,0.0,length_mismatch,phrase,calque
珂,珂,śaṅkha,1,2,1,0.5,0.0,off_by_one,noun,calque
等引,等引,samāhita,2,4,0,0.5,0.0,length_mismatch,noun,calque
世間,世间,loka,2,2,2,1.0,0.5,exact,noun,calque
疲勞,疲劳,śrama,2,2,2,1.0,0.0,exact,adjective,calque
琉,琉,pan,1,1,1,1.0,0.0,exact,noun,calque
琉璃,琉璃,sphaṭika,2,3,2,0.667,0.0,off_by_one,noun,calque
現,现,prādur,1,2,1,0.5,0.0,off_by_one,verb,calque
現,现,prādur,1,2,1,0.5,0.0,off_by_one,verb,calque
現,现,kalām api,1,4,0,0.25,0.0,length_mismatch,noun,calque
女根,女根,strīndriya,2,3,2,0.667,0.5,off_by_one,phrase,calque
現在,现在,pratyutpanna,2,4,0,0.5,0.0,length_mismatch,phrase,calque
火界,火界,tejodhātuḥ,2,4,0,0.5,0.0,length_mismatch,phrase,calque
球,球,parimaṇḍala,1,5,0,0.2,0.0,length_mismatch,noun,calque
普觀,普观,ālokita,2,4,0,0.5,0.0,length_mismatch,phrase,calque
理,理,naya,1,2,1,0.5,1.0,off_by_one,noun,calque
月明,月明,candra-prabha,2,4,0,0.5,0.0,length_mismatch,noun,calque
月光童子,月光童子,candraprabha-kumāra,4,7,0,0.571,0.0,length_mismatch,proper noun,calque
月明童子,月明童子,candraprabha-kumāra,4,7,0,0.571,0.0,length_mismatch,proper noun,calque
月明兒,月明儿,candraprabha-kumāra,3,7,0,0.429,0.0,length_mismatch,proper noun,calque
月明童男子,月明童男子,candraprabha-kumāra,5,7,0,0.714,0.0,length_mismatch,proper noun,calque
如是,如是,evam,2,2,2,1.0,0.5,exact,conjunction,calque
琥珀,琥珀,tṛṇakuñcaka,2,5,0,0.4,0.0,length_mismatch,noun,calque
名曰,名曰,nāma,2,2,2,1.0,0.0,exact,verb,calque
三百,三百,triśatika,2,4,0,0.5,0.0,length_mismatch,number,calque
琴,琴,vīṇā,1,2,1,0.5,0.0,off_by_one,noun,calque
琴瑟,琴瑟,vīṇā,2,2,2,1.0,0.0,exact,noun,calque
訖,讫,niṣṭha,1,2,1,0.5,1.0,off_by_one,verb,calque
時,时,atha,1,2,1,0.5,0.0,off_by_one,adverb,calque
處,处,sthāna,1,2,1,0.5,1.0,off_by_one,noun,calque
坐,坐,paryaṅka,1,3,0,0.333,0.0,length_mismatch,verb,calque
直,直,ṛju,1,2,1,0.5,0.0,off_by_one,adjective,calque
對,对,prati,1,2,1,0.5,1.0,off_by_one,adverb,calque
薩婆阿私底婆地,萨婆阿私底婆地,sarvāstivāda,7,5,0,1.4,0.0,length_mismatch,proper noun,calque
若,若,yadi,1,2,1,0.5,0.0,off_by_one,conjunction,calque
膝,膝,jānu,1,2,1,0.5,1.0,off_by_one,noun,calque
很,很,paridāha,1,4,0,0.25,0.0,length_mismatch,verb,calque
善護,善护,tāyin,2,2,2,1.0,0.0,exact,noun,calque
云何,云何,katham,2,2,2,1.0,0.5,exact,adverb,calque
如是,如是,evaṃrūpa,2,4,0,0.5,0.0,length_mismatch,phrase,calque
瑕,瑕,chidra,1,2,1,0.5,1.0,off_by_one,noun,calque
迦羅鳩孫陀佛,迦罗鸠孙陀佛,krakucchanda,6,4,0,1.5,0.0,length_mismatch,proper noun,calque
琵,琵,vīṇā,1,2,1,0.5,0.0,off_by_one,noun,calque
