headword,gloss_lat,codex_page,scan_page
Batarmen,mergo,36,447
Batis,occasus,215,447
Batirrimen,celo,18,447
Badam,amydalum,126,447
Badbact,demens,116,447
Baxar,forum,105,447
Baxet,grossus,87,447
Baxlic,pax,78,447
Bas,lana,209,447
Baxilic,pax,159,447
Basa,ergo,65,447
Baskac,rector,49,447
Bassarmen,premo,137,447
Basmac,caclaneum,99,447
Baslarmen,incipio,31,447
Bapas,presbyter,77,447
Baptismä,baptisma,212,447
Bav,vinculum,204,447
Bavursak,intimus,199,447
Bavladi,disposuit,196,447
Bar,est,144,447
Barumen,eo,61,448
Barče,omnes,157,448
Bekjn,beki (bekin),143,448
Beg,princeps,104,448
Bardac,urceus,123,448
Barza,vid. barče,76,448
Behet,arrha,106,448
Barmac,digitus,112,448
Bal,mel,91,448
Balaux,cera,92,448
Balazuc,pullaster,130,448
Balaban,falco,129,448
Baley,aeternus,234,448
Balik,piscis,144,448
Balkisin,fulgeat,208,448
Balčuc,lutum,88,448
Balta,securicula,100,448
Baltičak,? «malleus,139,448
Balsaman,balsamum,182,448
Be,malum cydonium,125,448
Beik,altus,139,448
Beynip,saliens,216,448
Beyenč,hymnus,217,448
Beyinč,?,208,448
Betichzi,scriba,55,448
Benxar,similat,57,448
Bexarmen,renuncio,48,448
Bes,quinque,143,448
Bestlarmen,nutrio,39,448
Bessaradi,acceptavit,183,448
Bezgek,torcular,220,448
Berumen,do,18,448
Berch,firmamentum,26,449
Bel,ren,112,449
Bieni,(rmen) gaudeo,29,449
Bieipdir,tumidus erat,140,449
Bičak,culter,97,449
Bitirrimen,perficio,47,449
Bitunluc,birla integre,67,449
Bitv,scriptura,212,449
Bix,nos,72,449
Bis,subula,99,449
Bisturumen,maturo,36,449
Bizan,foenum,131,449
Bišuturmen,coquo,13,449
Bizchi,forfex,98,449
Bir,unus,83,449
Birga,simul,70,449
Birgi,tuba,143,449
Birla,cum,64,449
Bil,lumbi,141,449
Bila,cos,146,449
Bilau,cutis,100,449
Bilermen,acuo,180,449
Bičanlik,praesepe,159,449
Bičchi,serra,100,449
Bit,pediculus,129,449
Biter,crescit >>,135,449
Bitik,quodvis scriptum,90,449
Bitis,extuberatio,144,449
Boksmen,et «caro tenella,233,449
Bochorich,caminus,119,449
Boga,taurus,129,449
Bogeymac,obedientia,141,449
Bogov,moles,210,449
Boguzgur,gulosus,183,450
Bogh,excrementum,113,450
Boy,corpus,111,450
Boya,tinctura,59,450
Boyiow,color,18,450
Botang,umbra,137,450
Boxag,fuscus,108,450
Bošaturmen,absolvo,7,450
Bosanurmen,expedio>>,25,450
Borla,vinea,89,450
Bolar,crystallum,227,450
Bolov,pars,228,450
Boluzurmen,adjuvo,6,450
Bolmači,in vanum,191,450
Bollach,fons,28,450
Böv,aranea,180,450
Börlendi,germinavit,207,450
Buug,nodus,112,450
Bucûluc,magia,138,450
Bucru,gibbus,111,450
Buga,taurus,147,450
Bor,vinum,90,450
Boru,lupus,128,450
Bugermen,plico,230,450
Bugovli,catenis vinctus,147,450
Buču,dimidia pars,145,450
Bucchi,forfex,97,450
Borz,aes alienum,22,450
Buy,mend. scriptum pro bu,147,451
Buiuramen,jubeo,31,451
Buyu,gallice «reglisse,95,451
Buth,coxa,113,451
Butac,ramus,125,451
Butun,integer,83,451
Butuluc,lorica,118,451
Buniat,fundamentum,28,451
Buxau,vitellus,128,451
Buxarmen,rumpo,11,451
Bus,glacies,134,451
Buz,caeruleus,145,451
Buzov,ruina,192,451
Buv,sylva,143,451
Buran,terebra,100,451
Burarmen,torqueo,60,451
Burun,primum,159,451
Burusmis,contractus,85,451
Burkit,aquila,148,451
Burguča,tuba,104,451
Burč,piper,91,451
Burča,pulex,129,451
Burzac,grando,40,451
Burmix,tortus,83,451
Bulah,fons,197,451
Buluschmach,auxilium,159,451
Bulgastur,misce,36,451
Bulbul,luscinia,130,451
Brinč,oryza,107,451
Maydan,locus planus,90,452
Maymun,simia,128,452
Makala,platea,90,452
Mac,etkil invoca,141,452
Magat,certus,141,452
Magar,fortasse,66,452
Magugh,gossypium,92,452
Magmuda,scammonia,93,452
Magley,frons,110,452
Mahac,lapis auri,91,452
Mahtarmen,laudo,234,452
Mahsit,intentio,184,452
Mayan,praecipue,69,452
Matellar,aenigmata,188,452
Madim,metallum,233,452
Manaysis,sine modo,233,452
Manarmen,intingo,229,452
Mania,ad similitudinem,143,452
Mangdan,petroselinum,126,452
Manč,kakak «juncus,135,452
Masa,pruniceps,97,452
Mascara,joculator,103,452
Mazi,felis,128,452
Mamuh,xilinum,139,452
Mariand,coralium,95,452
Maruimac,lens,131,452
Marul,lactuca,126,452
Mart,vir,214,452
Malahan,unguentum,100,452
Meyx,vultus,113,452
Mečälä,funis,232,452
Medet,auxilium,208,452
Men,ego,23,452
Meng,cerebrum,110,452
Mengu,aeternus,234,452
Mianči,censarius,101,452
Migh,clavus,121,452
Mihir,affectus,192,453
Minermen,ascendo,6,453
Misiha,Messias,189,453
Mir,princeps,216,453
Mirät,haereditas,189,453
Myron,myrrha,162,453
Moghor,sigillum,53,453
Mohdak,obtusus,233,453
Moninchibi,talis,71,453
Monda,hic,66,453
Mondo,bai sutor vestiarius,98,453
Monzagina,aliquantulum,64,453
Muhtač,egens,194,453
Muna,ecce,65,453
Mungreydir,mugit,134,453
Muzi,cornu ejus,144,453
Murad,"scopus, quo quis vult",196,453
Murdar,meretrix,104,453
Murrâtlic,luxuriosus,186,453
Mulclamac,haereditas,30,453
Fanar,lampas,106,453
Fil,tisi «ebur,92,453
Franasca,Franciscus,157,453
Frista,Angelus,77,453
Va,y,66,453
Way,! «vae!,166,453
Viat,pudor,166,453
Via,tursen «te pudet,166,453
Vurčik,cicada,139,453
Raygan,gratis,194,454
Rauand,rhabarbarum,93,454
Vvgil,frange,231,454
Vvseydir,blanditur,231,454
Raxiana,foeniculum,127,454
Rahim,clementia,206,454
Rang,color,59,454
Rustan,rusticus,116,454
Laal,rubinus,109,454
Layh,dignns,209,454
Lahab,pronomen,75,454
Lahan,baptisterium,182,454
Llal,i. q. laal,108,454
Last,stupa,107,454
Limen,portus,43,454
Maria,n,77,454
Rus,i,107,454
Ostum,e,107,455
Bgamesc,e,108,455
Kipča,h,144,455
Luka,s,159,455
Ihc,pc,160,455
Augustin,S. Augustinus,162,455
Gigor,Gregorius,162,455
Salom,o,165,455
Jeronimu,s,166,455
He'ode,s,171,455
Syo,n,188,455
Jess,e,191,455
Liban,mons Libanus,192,455
Aaro,n,199,455
Ishral,Israel,200,455
Hava,Eva,202,455
Daui,d,209,455
Pont,pilat,211,455
Joha,n,215,455
Elzabe,Elisabeta,216,455
Jusu,p,216,455
Tatar,Turca,229,455
