chinese,sanskrit,junction,position,source_has
金剛密跡,guhyapāda,t|t,3,once
阿吒薄俱,āṭavaka,k|k,3,once
阿吒薄迦,āṭavaka,k|k,3,once
阿吒薄皆,āṭavaka,k|k,3,once
頻那夜迦,vināyaka,n|n,1,once
鄔波索迦,upāsaka,k|k,3,once
阿蘭若迦,āraṇyaka,k|k,3,once
三摩咀吒,samataṭa,m|m,1,once
三彌底部,sammatīya,m|m,1,twice
三摩吠陀,sāmaveda,m|m,1,once
演若達多,yajñadatta,t|t,3,twice
延若達多,yajñadatta,t|t,3,twice
耶若達多,yajñadatta,t|t,3,twice
阿時縛迦,ājīvika,k|k,3,once
實叉難陀,Śiksānanda,t|t,1,once
虛空藏菩薩陀羅尼,ākāśagarbhadhāraṇī,t|d,5,once
末田地那,madhyantika,t|d,1,once
