pdf_page,matched,pinyin,k_number,emc_guess,block
135,\bhu\b,hu,K56a,yo,"K56a wine bottle, pot; hulu >ottle gourd | hu 57:5 M09757 Y. xu' L. xfius E. yo | K4lh bow; arc | hu 85:9 M17836 Y. xu' L. xfius E. yo | K49j' lake | hu 94:5 M20333 Y. xu' L. xfiua E. yo"
135,\bhu\b,hu,K49j,yo,"K4lh bow; arc | hu 85:9 M17836 Y. xu' L. xfius E. yo | K49j' lake | hu 94:5 M20333 Y. xu' L. xfiua E. yo | K41i fox | hu 96:9 M21126 Y. x u 'T,. xfius E. yo"
135,\bhu\b,hu,K49j,yo,"K49j' lake | hu 94:5 M20333 Y. xu' L. xfiua E. yo | K41i fox | hu 96:9 M21126 Y. x u 'T,. xfius E. yo | shanhu coral | hu 97:6 M21392B Y. xu' L. x f i u s E. yo"
135,\bhu\b,hu,K41i,yo,"K41i fox | hu 96:9 M21126 Y. x u 'T,. xfius E. yo | shanhu coral | hu 97:6 M21392B Y. xu' L. x f i u s E. yo | K43j bottle gourd (Cf. hulu ). | Now read hu. See also hu"
135,hulu,hu,K43j,yo,"hu 96:9 M21126 Y. x u 'T,. xfius E. yo | shanhu coral | hu 97:6 M21392B Y. xu' L. x f i u s E. yo | K43j bottle gourd (Cf. hulu ). | Now read hu. See also hu | hu 119:9 M27037 Y. xu' L. xfius E. yo"
135,\bhu\b,hu,K43j,yo,shanhu coral | hu 97:6 M21392B Y. xu' L. x f i u s E. yo | K43j bottle gourd (Cf. hulu ). | Now read hu. See also hu | hu 119:9 M27037 Y. xu' L. xfius E. yo | paste
135,\bhu\b,hu,K43j,yo,hu 97:6 M21392B Y. xu' L. x f i u s E. yo | K43j bottle gourd (Cf. hulu ). | Now read hu. See also hu | hu 119:9 M27037 Y. xu' L. xfius E. yo | paste | hu 130:5 M29400 Y. xu' L. xfiua E. yo
135,\bhu\b,hu,K49a,yo,"Now read hu. See also hu | hu 119:9 M27037 Y. xu' L. xfius E. yo | paste | hu 130:5 M29400 Y. xu' L. xfiua E. yo | K49a' dewlap; interrogative adverb, why?,"
136,\bhu\b,,,,"127 | Lexicon | hu (continuedd)) how?; general name for horse-riding | nomads (Han); for Iranians from Central | Asia (Tang); foreign, western"
136,\bhu\b,hu,K49k,yo,"hu (continuedd)) how?; general name for horse-riding | nomads (Han); for Iranians from Central | Asia (Tang); foreign, western | hu 140:9 M31443 Y. [xu'] L. xfiuS E. yo | K49k' garlic; huh bottle gourd, calabash | hu 142:9 M33328 Y. [xu'] L. xfiua E. yo"
136,\bhu\b,hu,K49k,yo,"Asia (Tang); foreign, western | hu 140:9 M31443 Y. [xu'] L. xfiuS E. yo | K49k' garlic; huh bottle gourd, calabash | hu 142:9 M33328 Y. [xu'] L. xfiua E. yo | hudie butterfly | hu 164:9 M39930 Y. x u ' L. xfiua E. yo"
136,\bhu\b,hu,K49k,yo,"K49k' garlic; huh bottle gourd, calabash | hu 142:9 M33328 Y. [xu'] L. xfiua E. yo | hudie butterfly | hu 164:9 M39930 Y. x u ' L. xfiua E. yo | tihu clarified butter; cream; essence | hu 184:9 M44255 Y. [xu'] L. xfiua E. yo"
136,\bhu\b,hu,K491,yo,"hudie butterfly | hu 164:9 M39930 Y. x u ' L. xfiua E. yo | tihu clarified butter; cream; essence | hu 184:9 M44255 Y. [xu'] L. xfiua E. yo | K491' gruel; supply with food, feed; eat | hu 196:9 M47098 Y. h u ' L. xfiua E. yo"
136,\bhu\b,hu,K491,yo,"tihu clarified butter; cream; essence | hu 184:9 M44255 Y. [xu'] L. xfiua E. yo | K491' gruel; supply with food, feed; eat | hu 196:9 M47098 Y. h u ' L. xfiua E. yo | K49m' tihu pelican | hu 75:6 M14743b Y. [xjaj'] L. xfijaijk E. yaijk/yeijk"
136,\bhu\b,hu,K491,yo,"K491' gruel; supply with food, feed; eat | hu 196:9 M47098 Y. h u ' L. xfiua E. yo | K49m' tihu pelican | hu 75:6 M14743b Y. [xjaj'] L. xfijaijk E. yaijk/yeijk | K937a pit (of a fruit), kernel, stone. See also | he. The reading hu seems to belong tc"
136,\bhu\b,hu,K49m,yaijk/yeijk,"K49m' tihu pelican | hu 75:6 M14743b Y. [xjaj'] L. xfijaijk E. yaijk/yeijk | K937a pit (of a fruit), kernel, stone. See also | he. The reading hu seems to belong tc | read E. ywat in the Guangyun . | hu 68:7 Ml3508 Y. xu' L. xfiawk E. yswk"
136,\bhu\b,hu,K937a,ywat in the Guangyun .,"K937a pit (of a fruit), kernel, stone. See also | he. The reading hu seems to belong tc | read E. ywat in the Guangyun . | hu 68:7 Ml3508 Y. xu' L. xfiawk E. yswk | Kl225f measure of capacity equal to ten d6u | 4, picul"
136,\bhu\b,hii,K1226k,yawk,"4, picul | hii 75:11 M15375 Y. xu L. xhswk E. yawk | Mongolian oak, Quercus dentata | hu 120:10 M27780 Y. [xu'] L. xffowk E. yowk | K1226k kind of silk gauze | hu 148:10 M35144 Y. [xu'] L. xfiawk E. yswk"
136,\bhu\b,hu,K1226k,yowk,"Mongolian oak, Quercus dentata | hu 120:10 M27780 Y. [xu'] L. xffowk E. yowk | K1226k kind of silk gauze | hu 148:10 M35144 Y. [xu'] L. xfiawk E. yswk | K12261 measuring vessel; husu .. fearful, | trembling"
136,\bhu\b,hu,,yswk,"hu 148:10 M35144 Y. [xu'] L. xfiawk E. yswk | K12261 measuring vessel; husu .. fearful, | trembling | hu 196:7 M46961A Y. xu' L. xfiawk E. yawk | Kl039n swan, Cygnus bewicki. See also gu | hu 64:10 M12511 Y. [xu'] L. xfiut E. ywat"
136,\bhu\b,hu,K486c,yawk,"trembling | hu 196:7 M46961A Y. xu' L. xfiawk E. yawk | Kl039n swan, Cygnus bewicki. See also gu | hu 64:10 M12511 Y. [xu'] L. xfiut E. ywat | K486c dig out | hu 85:11 Ml8089 Y. xu~ L. xua' E. xo'"
136,\bhu\b,hu,K486c,ywat,"Kl039n swan, Cygnus bewicki. See also gu | hu 64:10 M12511 Y. [xu'] L. xfiut E. ywat | K486c dig out | hu 85:11 Ml8089 Y. xu~ L. xua' E. xo' | K60k river bank | hu 96:8 M21061 Y. [xuv] L. XUQ' E. xo'"
