pdf_page,matched,pinyin,k_number,emc_guess,block
162,\bjie\b,jie,K635e,tsiap,"boil, furuncle | jie 64:8 M12280 Y. tsje"" L. tsiap E. tsiap | K635e join, connect, make contact | jie 75:15 M15817 Y. [tsr""] L. tsot E. tsit | K399g comb | ji6 181:6 M43452Ab Y. [xje'] L. x f i j i a t E. yet"
162,\bjie\b,jie,,yet,"ji6 181:6 M43452Ab Y. [xje'] L. x f i j i a t E. yet | Alternative reading for xie See also | jia | jie 75:9 M15169A. Y. [kje'] L. kfiiat E. giat, giat | K3l3o commemorative pole over a grave. See | also qia"
163,\bjie\b,jie,K313q,"giat, giat","K313q standing stone, monolith; stone tablet | ji6 117:9 M25803 Y. kje' L.kfiiat E. giat, giat | K3l3r use up, exhaust | jie 9:9 M00836B Y. [kje'] L. kfiiat E. giat | K3l3p robust, martial; swift. See also ji | jie 9:10 M00955 Y. kje' L.kfiiat E. giat"
163,\bjie\b,jie,K284b,giat,"K3l3r use up, exhaust | jie 9:9 M00836B Y. [kje'] L. kfiiat E. giat | K3l3p robust, martial; swift. See also ji | jie 9:10 M00955 Y. kje' L.kfiiat E. giat | K284b hero | jie 75:6 M14753 Y. [kje'] L. kfiiat E. giat"
163,\bjie\b,jie,K284b,giat,"K3l3p robust, martial; swift. See also ji | jie 9:10 M00955 Y. kje' L.kfiiat E. giat | K284b hero | jie 75:6 M14753 Y. [kje'] L. kfiiat E. giat | K284a hen-roost; the bad last ruler of the Xia | dynasty"
163,\bjie\b,jie,K284a,giat,jie 75:6 M14753 Y. [kje'] L. kfiiat E. giat | K284a hen-roost; the bad last ruler of the Xia | dynasty | jie 62:10 M11639 Y. tsje' L. tsfiiat E. dzet | K310b cutoff | jie 109:8 M23469 Y. tsje' L. tsiap E. tsiap
163,\bjie\b,jie,K310b,dzet,dynasty | jie 62:10 M11639 Y. tsje' L. tsfiiat E. dzet | K310b cutoff | jie 109:8 M23469 Y. tsje' L. tsiap E. tsiap | K636d eyelash; blink | jie 64:8 M12216 Y. [tsje'] L. tsfiiap E. dziap
163,\bjie\b,jie,K310b,tsiap,"K310b cutoff | jie 109:8 M23469 Y. tsje' L. tsiap E. tsiap | K636d eyelash; blink | jie 64:8 M12216 Y. [tsje'] L. tsfiiap E. dziap | K636b victory; quick, nimble | jie 149:6 M35440 Y. [khi""] L. khjit E. khjit"
163,\bjie\b,jie,K636d,dziap,"K636d eyelash; blink | jie 64:8 M12216 Y. [tsje'] L. tsfiiap E. dziap | K636b victory; quick, nimble | jie 149:6 M35440 Y. [khi""] L. khjit E. khjit | K393j to question, examine | jie 19:6 M02338 Y. [khja""] L. khjait E. khsit/khe:t"
163,\bjie\b,jie,K636b,khjit,"K636b victory; quick, nimble | jie 149:6 M35440 Y. [khi""] L. khjit E. khjit | K393j to question, examine | jie 19:6 M02338 Y. [khja""] L. khjait E. khsit/khe:t | K393x firmly, with all one's strength | jie 145:6 M34240A Y. [kje""] L. kiap E. kiap"
163,\bjie\b,jie,K393j,khsit/khe:t,"K393j to question, examine | jie 19:6 M02338 Y. [khja""] L. khjait E. khsit/khe:t | K393x firmly, with all one's strength | jie 145:6 M34240A Y. [kje""] L. kiap E. kiap | K675o collar. See also jia | jie 123:9 M28537 Y. [kjev] L. kiat E. kiat"
163,\bjie\b,jie,K393x,kiap,"K393x firmly, with all one's strength | jie 145:6 M34240A Y. [kje""] L. kiap E. kiap | K675o collar. See also jia | jie 123:9 M28537 Y. [kjev] L. kiat E. kiat | castrated ram; people subject to the | Xiongnu"
163,xiongnu,jie,K675o,kiat,"K675o collar. See also jia | jie 123:9 M28537 Y. [kjev] L. kiat E. kiat | castrated ram; people subject to the | Xiongnu | jie 149:3 M35234 Y. [kje""] L. kiat E. kiat, kiat | K300a denounce, expose"
163,\bjie\b,jie,K300a,kiat,"jie 123:9 M28537 Y. [kjev] L. kiat E. kiat | castrated ram; people subject to the | Xiongnu | jie 149:3 M35234 Y. [kje""] L. kiat E. kiat, kiat | K300a denounce, expose | jie 39:0 M06931 Y. [kje""] L. kiat E. kiat"
163,\bjie\b,jie,K300a,"kiat, kiat","Xiongnu | jie 149:3 M35234 Y. [kje""] L. kiat E. kiat, kiat | K300a denounce, expose | jie 39:0 M06931 Y. [kje""] L. kiat E. kiat | K283a alone, solitary | jie 64:6 Ml 1990 Y. [kje""] L. kjiat E. ket"
163,\bjie\b,jie,K300a,kiat,"K300a denounce, expose | jie 39:0 M06931 Y. [kje""] L. kiat E. kiat | K283a alone, solitary | jie 64:6 Ml 1990 Y. [kje""] L. kjiat E. ket | K393n jieju clutch with difficulty; in | straitened circumstances. Also E. kjit"
163,\bjie\b,jie,K393n,ket,"jie 64:6 Ml 1990 Y. [kje""] L. kjiat E. ket | K393n jieju clutch with difficulty; in | straitened circumstances. Also E. kjit | jie 75:6 M14777 Y. [kje""] L. kjiat E. ket | K393o jiegfcng root of the balloonflower, | Platycodon grandiflorum; jiegao"
163,\bjie\b,jie,K393o,ket,"K393o jiegfcng root of the balloonflower, | Platycodon grandiflorum; jiegao | well-sweep | jie 85:12 M18231 Y. [kje""] L. kjiat E. ket | K279j pure, purify; clean | jie 120:6 M27398a Y. kje"" L. kjiat E. ket"
163,\bjie\b,jie,K279j,ket,"well-sweep | jie 85:12 M18231 Y. [kje""] L. kjiat E. ket | K279j pure, purify; clean | jie 120:6 M27398a Y. kje"" L. kjiat E. ket | K393p tie; knot; also jie | jie 120:6 M27419A Y. kje"" L. k j i a t E. ket"
163,\bjie\b,jie,K279j,ket,"jie 85:12 M18231 Y. [kje""] L. kjiat E. ket | K279j pure, purify; clean | jie 120:6 M27398a Y. kje"" L. kjiat E. ket | K393p tie; knot; also jie | jie 120:6 M27419A Y. kje"" L. k j i a t E. ket | K279d clear, pure, same as . See also xie"
163,\bjie\b,jie,K279j,ket,"K279j pure, purify; clean | jie 120:6 M27398a Y. kje"" L. kjiat E. ket | K393p tie; knot; also jie | jie 120:6 M27419A Y. kje"" L. k j i a t E. ket | K279d clear, pure, same as . See also xie | jie 145:6 M34247 Y. [kje""] L. kjiat E. ket"
163,\bjie\b,jie,K393p,ket,"K393p tie; knot; also jie | jie 120:6 M27419A Y. kje"" L. k j i a t E. ket | K279d clear, pure, same as . See also xie | jie 145:6 M34247 Y. [kje""] L. kjiat E. ket | K393q lift up the skirt in order to carry | something. Also E. kait"
164,\bjie\b,jie,K399e,tset,"Lexicon 155 | jie 118:9 M26243 Y. tsje"" L. tsiat E. tset | K399e joint of bamboo; joint; juncture; degree, | rank; division, section; regulate,"
164,\bjie\b,jie,,kiap,"rank; division, section; regulate, | moderate; rule, law; moral principles, | chastity; festival | jie 19:5 M02316 Y. kje"" L. kiap E. kiap | K642H rob, plunder | jie 38:5 M061645 Y. tsz"" L. tsz' E. tsi'"
164,\bjie\b,jie,K554b,kiap,"chastity; festival | jie 19:5 M02316 Y. kje"" L. kiap E. kiap | K642H rob, plunder | jie 38:5 M061645 Y. tsz"" L. tsz' E. tsi' | K554b elder sister (reading borrowed from ); | also zT"
164,\bjie\b,jig,,tsia',"also zT | jig 38:5 M06172 Y. tsje"" L. tsia' E. tsia' | elder sister | jie 148:6 M35067A Y. kjajv L. kjay' E. kaij'/keij' | K86la untie, undo; analyze, explain; dispel, | dismiss. See also jie, xie"
164,\bjie\b,jie,K798u,kaij'/keij',"elder sister | jie 148:6 M35067A Y. kjajv L. kjay' E. kaij'/keij' | K86la untie, undo; analyze, explain; dispel, | dismiss. See also jie, xie | jie 9:8 M00781 Y. tsje^ L. tsiaN E. tsiah | K798u borrow; lend. Also E. tsiajk borrow"
164,\bjie\b,jie,K798u,kaij'/keij',"jie 148:6 M35067A Y. kjajv L. kjay' E. kaij'/keij' | K86la untie, undo; analyze, explain; dispel, | dismiss. See also jie, xie | jie 9:8 M00781 Y. tsje^ L. tsiaN E. tsiah | K798u borrow; lend. Also E. tsiajk borrow | jie 140:14 M32242A Y. tSJ£v L. tsfmT E. dziah"
164,\bjie\b,jie,K798u,tsiah,"dismiss. See also jie, xie | jie 9:8 M00781 Y. tsje^ L. tsiaN E. tsiah | K798u borrow; lend. Also E. tsiajk borrow | jie 140:14 M32242A Y. tSJ£v L. tsfmT E. dziah | K798b' straw mat on which offerings are placed; | to present, aid; rely on, depend on."
164,\bjie\b,jie,K798b,k9ijh/ke:jh,"K798b' straw mat on which offerings are placed; | to present, aid; rely on, depend on. | Seealsoji | jie 9:2 M00359 Y. kjajv L. kjayv E. k9ijh/ke:jh | K327a lie between; shell; armour; upright | jie 9:4 M00412 Y. [kjajv] L. kjaijv E. k3ijh/keijh"
164,\bjie\b,jie,K327a,k9ijh/ke:jh,Seealsoji | jie 9:2 M00359 Y. kjajv L. kjayv E. k9ijh/ke:jh | K327a lie between; shell; armour; upright | jie 9:4 M00412 Y. [kjajv] L. kjaijv E. k3ijh/keijh | K327d great; good; man in armour; serving man | jie 44:5 M07666 Y. kjaj^ L. kjaijv E. k3ijh/ke:jh
164,\bjie\b,jie,K327a,k3ijh/keijh,"K327a lie between; shell; armour; upright | jie 9:4 M00412 Y. [kjajv] L. kjaijv E. k3ijh/keijh | K327d great; good; man in armour; serving man | jie 44:5 M07666 Y. kjaj^ L. kjaijv E. k3ijh/ke:jh | K510b reach, arrive at; set time, term | jie 62:3 Ml 1548 Y. kjaf L. kja:jv E. k3ijh/k£ijh"
164,\bjie\b,jie,K327d,k3ijh/ke:jh,"K327d great; good; man in armour; serving man | jie 44:5 M07666 Y. kjaj^ L. kjaijv E. k3ijh/ke:jh | K510b reach, arrive at; set time, term | jie 62:3 Ml 1548 Y. kjaf L. kja:jv E. k3ijh/k£ijh | K990a take precaution; warn against; monastic | discipline"
164,\bjie\b,jie,K990a,k3ijh/k£ijh,jie 62:3 Ml 1548 Y. kjaf L. kja:jv E. k3ijh/k£ijh | K990a take precaution; warn against; monastic | discipline | jie 102:4 M21775 Y. kjajv L. kjaijv E. k9ijh/keijh | K327e boundary | jie 104:4 M22057 Y. kjajv L. kja:jv E. k3ijh/keijh
164,\bjie\b,jie,K327e,k9ijh/keijh,"discipline | jie 102:4 M21775 Y. kjajv L. kjaijv E. k9ijh/keijh | K327e boundary | jie 104:4 M22057 Y. kjajv L. kja:jv E. k3ijh/keijh | K327f itching sore, scabies | jie 149:7 M35538 Y. kjajv L. kja:jv E. ksijh/keijh"
164,\bjie\b,jie,K327e,k3ijh/keijh,"K327e boundary | jie 104:4 M22057 Y. kjajv L. kja:jv E. k3ijh/keijh | K327f itching sore, scabies | jie 149:7 M35538 Y. kjajv L. kja:jv E. ksijh/keijh | K990c warn | jie 53:13 M09510a Y. kjajv L. kja:jv E. kaijh/ke:jh"
164,\bjie\b,jie,K327f,ksijh/keijh,"K327f itching sore, scabies | jie 149:7 M35538 Y. kjajv L. kja:jv E. ksijh/keijh | K990c warn | jie 53:13 M09510a Y. kjajv L. kja:jv E. kaijh/ke:jh | government building, office; also xie | jie 140:4 M30715a Y. kjajv L. kja:jv E. kaijh/keyh"
164,\bjie\b,jie,K990c,kaijh/ke:jh,"K990c warn | jie 53:13 M09510a Y. kjajv L. kja:jv E. kaijh/ke:jh | government building, office; also xie | jie 140:4 M30715a Y. kjajv L. kja:jv E. kaijh/keyh | K327j mustard; also gai | jie 148:6 M35067B Y. kjajv L. kjaijv E. kaijh/kejjh"
164,\bjie\b,jie,K327j,kaijh/keyh,"government building, office; also xie | jie 140:4 M30715a Y. kjajv L. kja:jv E. kaijh/keyh | K327j mustard; also gai | jie 148:6 M35067B Y. kjajv L. kjaijv E. kaijh/kejjh | K86la remove; idle, remiss; send under guard. | See also jie, xie"
164,\bjie\b,jie,K327j,kaijh/kejjh,"K327j mustard; also gai | jie 148:6 M35067B Y. kjajv L. kjaijv E. kaijh/kejjh | K86la remove; idle, remiss; send under guard. | See also jie, xie | JTn 110:4 M23852A Y. kirj L. kisrj E. kirj | K369a pity, pitiable;reserved, dignified;"
171,\bjie\b,jiu,K46h,dzuwh,jiu 196:12 M47345 Y. tsiwv L. tsfiiwv E. dzuwh | vulture | ju 122:5 M28245a Y. tsje L. tsia E. tsia | K46h net for rabbits; also jie | ju 44:5 M07663 Y. ky L. ki3/ky3 E. kiS | K49c' sit down; dwell in; rest
171,xiongnu,ju,K46p,ts'Ha,"K46p deep-rooted ulcer | JQ 85:5 M17238B Y. tsy L. tshi§/tshyS E. ts'Ha | K46k river name; su™amf>i stop, prevent. Also | E. tsia in juqu Xiongnu title and | surname. See also ju, ju | ju 172:5 M42001 Y. [tshvl L. tshi§/tshy3 E. ts^a"
176,\bjie\b,juan,K235a,dzwian',"juan 172:5 M41996 Y. [tsuens] L. tsfiyanN E. dzwian' | K235a fat, rich (meat) | jue 30:10 M04102a Y. tsje L. tsia E. tsia | K5n sigh; also jie | jue 64:12 M12676A Y. [ki^] L. kyat E. kuat | K3011 dig up; stick out. See also gui, jue"
208,hulu,,K69o,b,"l u 1 2 0 : 16 M28054 Y. [lu'] L. lua E. b | K69o bleached hempen threads | l u 1 3 7 : 16 M30582 Y. lu' L. l u a E. b | prow, see zhulu"
210,xiongnu,,,bwk,"l u 1 1 8 : 11 M26458 Y. [hr] L. bwk E. bwk | box, hamper | l u 1 5 0 :0 M36182C Y. [hr] L. bwk E. bwk. | Kl202a lull king Xiongnu title. See | also gu, yu | l u 1 5 9 : 11 M38502 Y. [hr] L. bwk E. bwk"
226,modun,mo,,mak,"Moqi non-Chinese surname in the | N.Wei Dynasty | mo 1133::77 M01538B Y. [mujN] L. jnuSk E. mak | Kl062a covet; Modun , founder of the | Xiongnu empire. The reading du < E. | dawk given for the second character"
226,xiongnu,mo,,mak,"N.Wei Dynasty | mo 1133::77 M01538B Y. [mujN] L. jnuSk E. mak | Kl062a covet; Modun , founder of the | Xiongnu empire. The reading du < E. | dawk given for the second character"
321,tuqi,tu,K63c,do,312 Lexicon | tu 140:8 M31189B Y. tV L. tfius E. do | K63c tuqiu '. ancient place name. See also | tu | tu 162:7 M38882 Y. tV L. tfiuS E. do
323,xiongnu,tuo,K147d,da,"tuo 187:12 M45002 Y. [tV] L. tfia E. da | K147d' blue-black horse with white spots; tuoxT | a small wild equine domesticated | by the Xiongnu. Also E. dan, ten. | tuo 205:12 M48306 Y.tV L.tfia E.da | K147e' Alligator sinensis"
335,\bhu\b,wu,K1031,muS',"wu 53:12 M09491 Y. uu"" L. ujyS'AmS' E. muS' | K1031 porch, veranda | wu 61:12 M11259A Y. [uu""] L. ujyS'/uuS' E. mus' | K103J startled. See also hu | wu 77:4 M16273 Y. uu"" L. ujya'/uuS E. mus' | K104a martial, military"
335,\bhu\b,wu,K104a,mu3',"K104a martial, military | wu 130:12 M29895B Y. [uu""l L.ujy5'/uu5' E. mu3' | K103o wu wu rich, fertile. Also E. mu3. | See also hu | wu 136:8 M30342 Y. uu L. ujy§'/uu§' E. mua' | K103g dance"
338,xiongnu,,K876d,yej,K876d female slave; how? where? | XT 187:10 M44916 Y. [xi'l L. xfijiaj E. yej | tudxi a kind of domesticated | equine of the Xiongnu | XT 208:10 M48477a Y. [xi'] L. xfijiaj E. yej | K876m house mouse; also xi
340,\bhu\b,xi,K22b,sej',"xT 85:6 M17379A Y. si L. siaj' E. sej' | K478J wash. See also xian | xi 62:13 M11681A Y. xi- L. xi- E. xi3h/xih | K22b sport, jest; play, drama. See also hu | xi 32:11 M05423B Y. [xi-] L. xi- E. xijh | K515h plaster; collect; rest. See also ji"
343,\bhu\b,xia,K33g,Yaih/YElh,xia 72:9 M14036a Y. xjax L. xfijar E. Yaih/YElh | K33g leisure; also xia | xia 140:3 M30680B Y. xjav L. xfijar E. Yaih/Y£'h | K35d rushes. See also hu | xian 64:8 M12230 Y. xjen L. xian E. xian | K443y lift
350,\bjie\b,xie,K393r,y^F,"K393r straighten the neck; great; xiehang [ | descriptive of birds flying up and down; | xiehua muddled, confused; great. | See also jie,jia. | xie 19:13 M02458 Y. [xje'] L. xfijiap E. y^F | harmonious"
351,\bjie\b,xie,K799f,kaijh/ke:jh,"K799f drain off; dissipate; cast metal; depict; | transcribe, copy; write | xie 53:13 M09510b Y. kjaj"" L. kjaij"" E. kaijh/ke:jh | public office building; also jie | xie 187:7 M44749 Y. [xjaj""] L. xfijaij"" E. Y9tj'/YeU' | K990e alarm; sound an alarm"
351,\bjie\b,xie,K327h,Y9*jh/Yejjh,"xie 211:4 M48603 Y. [xjajv] L. xfijay"" E. Y9*jh/Yejjh | K327h gnash the teeth | xie 148:6 M35067C Y. xjaj"" L. xfijaij"" E. Yaij'/Yeu' | K861a understand; a surname. See also jie, jie | xie 148:6 M35067D Y. xjajs L. xfijaij"" E. Yaijh/Y£yh | K861a place name. See also jie, jie"
351,\bjie\b,xie,K861a,Yaij'/Yeu',"xie 148:6 M35067C Y. xjaj"" L. xfijaij"" E. Yaij'/Yeu' | K861a understand; a surname. See also jie, jie | xie 148:6 M35067D Y. xjajs L. xfijaij"" E. Yaijh/Y£yh | K861a place name. See also jie, jie | xie 162:13 M39173 Y. [xjajv] L. xfija:jv E. Ya*jh/Y£yh | K861e xiehdu free and easy, carefree and"
355,xiongnu,xion,K1183a,xuawrj,"xion 17:2 M01803 Y. xjurj L. xywrj E. xuawrj | K1183a ill-omened; crop failure; fierce | xiOn 20:4 M02512 Y. [xjurj] L. xvwrj E. xuawrj | K1183d breast, same as Xiongnu | dominant people in Mongolia in the Han | period"
364,xiongnu,yan,K270a,Ten,"y a n z h l k i nd of facial cosmetic, | rouge | yan 169:8 M41380B Y. [jen1 L. Tjian E. Ten | K270a yanzhl , queen of the Xiongnu"
372,\bhu\b,ye,K47b,jia,"ye 128:3 M29008 Y. je' L. iia E. jia | K47b vulgar form of as a question particle | ye 163:4 M39319B Y. je' L.jia E. jia | K47a final question particle, equivalent to y& hu | . See also xie | ye 116677::44 M40201 Y. [je] L. jia E. jia"
399,\bhun\b,yun,K458e,wunh,yun 180:10 M43307 Y. ynN L. ynv E. wunh | rhyme | yiin 184:9 M44254A Y. [ynv] L. ynv E. wunh | K458e deliver food to. See also hun | yun 39:2 M06938 Y. jinx L. jiarjv E. jirjh | K945J pregnant
422,\bhu\b,zhu,K45h,tria,zhu 152:9 M36432 Y. tsy L. tria/trya E. tria | K45h pig | zhu 149:9 M35743 Y. tsy L. tgia/tgya E. tpia | K45p all; fusion word for zhi hu • | zhu 75:6 M14723 Y. tsy L. trya E. trua | K128f tree trunk
422,hulu,zhu,K1079b,druwk,"K1079b piece of a loom; the cylinder for the warp. | See also you | zhu 137:5 M30397 Y. [tgy', tgiw'] L. trfiiwk E. druwk | zhulu [ a convoy of ships touching | stem to stern | zhu 140:11 M31719 Y. [tgy', tgiw'] L. trfiiwk E. druwk"
436,\bhu\b,,,,INDEX | 1:0 y*. 4:4 hu 8:7 Hang | 1:1 A. ding 4:4 fa 8:8 bo | 1:1 B. zheng 4:7 guai 8:11 dan
436,\bjie\b,,,,1:2 A. xia 5:10 B. gan 9:2 a. qiu | 1:2 B. xia 5:12 a. luan 9:2 b. chou | 1:3 A. fou 5:12 b. Ian 9:2 JTn | 1:3 B. bu 6:1 Mo 9:2 jie | 1:3 C. f6u 6:3 A. yu 9:2 reng | 1:3 gai 6:3 B. yu 9:3 A. zT
436,\bhu\b,,,,1:4 A. qie 7:0 er 9:3 shi | 1:4 B.ju 7:1 yu 9:3 a. tuo | 1:4 PT 7:2 yiin 9:3 b. ta | 1:4 shi 7:2 hu 9:3 A. zhang | 1:4 qiu 7:2 wu 9:3 B. zhang | 1:4 bTng 7:2 jing 9:3 zh&n
436,\bjie\b,,,,3:4 zhu 8:5 A. heng 9:4 PT | 4:1 yi 8:5 B. xiSng 9:4 wu | 4:1 nSi 8:5 C. peng 9:4 jian | 4:2 jiu 8:6 xiSng 9:4 jie | 4:2 zhT 8:6 jmg 9:4 A. ren | 4:4 zha 8:7 ting 9:4 B. ren
437,\bjie\b,,,,9:5 B. dian 9:6 B. gong 9:8 tang | 9:5 dan 9:6 zhou 9:8 h6u | 9:5 zhu 9:6 yT 9:8 yT | 9:5 bu 9:7 wu 9:8 jie | 9:5 qu 9:7 hou 9:8 A. chan; | 9:5 wei 9:7 qln 9:8 B. chan;
438,\bjie\b,,,,9:9 A.jia 9:11 qian 9:21 lei | 9:9 B.jia 9:11 xian 10:1 wu | 9:9 A.ji 9:12 xiang 10:2 yun | 9:9 B.jie 9:12 qiao 10:2 yuan | 9:9 wSi 9:12 pu 10:3 xiong | 9:9 wei 9:12 XT 10:4 ch5ng
438,\bjie\b,,,,9:9 wSi 9:12 pu 10:3 xiong | 9:9 wei 9:12 XT 10:4 ch5ng | 9:9 plan 9:12 liao 10:4 zhao | 9:9 a.jie 9:12 a. wei 10:4 xi6ng | 9:9 b. xie 9:12 b. wei 10:4 A. xian | 9:9 zuo 9:12 yao 10:4 B. xian
438,\bjie\b,,,,9:10 A. pang 9:13 jTng 11:0 a. ru | 9:10 B. bang 9:13 xuan 11:0 b. ri | 9:10 diEn 9:13 kuai 11:2 nei | 9:10 jie 9:13 a. jian 11:4 quan | 9:10 san 9:13 b.jian 11:6 A. HSng | 9:10 bei 9:14 bin 11:6 B. liang
439,\bhu\b,,K15,,14:14 mi 18:5 pan 18:10 ge | 15:3 dong 18:5 A. bie 18:10 A.chuang | 15:4 bTng 18:5 B. bie 18:10 B.chuang | 15:4 hu 18:5 bao 18:11 tuan | 15:5 yg 18:5 B 18:11 K | 15:5 leng 18:6 gua 18:11 piao
439,\bjie\b,,,,17:6 A. ban 18:7 ke 19:4 Jin | 17:6 B. ban 18:7 la 19:5 zhu | 18:0 dao 18:7 qian 19:5 nu | 18:0 diao 18:8 tT 19:5 jie
441,\bhu\b,,,,30:2 A. you 30:5 he 30:7 ai | 30:2 B. y6u 30:5 nao 30:7 taiig | 30:2 pd 30:5 shen 30:8 shou | 30:2 xi6 30:5 hu 30:8 A. wei | 30:2 hao 30:5 ming 30:8 B. w6i | 30:2 ST 30:5 ju 30:8 chang
442,\bjie\b,,,,30:10 wu 30:16 yan 32:3 PT | 30:10 shi 30:16 16ng 32:3 yi | 30:10 a.jue 30:16 pin 32:3 di | 30:10 b.jie 30:16 PT 32:4 qf | 30:10 w£ 30:16 xiang 32:4 zhT | 30:10 si 30:17 kii 32:4 jun
443,\bhu\b,,,,32:8 pi 32:10 xuan 33:9 yT. | 32:8 kan 32:11 chen 33:9 | y1 | 32:8 zhi 32:11 qian 33:9 hu | 32:8 dud 32:11 shu 33:9 xu | 32:8 zhi 32:11 chi 33:10 kun
444,\bhun\b,,,,37:5 B.JT 38:5 a. zhou 38:8 B. lyu | 37:5 nai 38:5 b. zhu 38:8 po | 37:5 feng 38:5 mei 38:8 w5n | 37:6 kui 38:5 A. qi 38:8 hun | 37:6 zou 38:5 B. qi 38:8 xing | 37:6 huan 38:5 qie 38:8 a. bei
444,\bjie\b,,,,37:6 C. qi 38:5 b.jig 38:8 Ian | 37:6 A. ben 38:5 shT 38:8 yfn | 37:6 B. ben 38:5 shan 38:8 ya | 37:6 yi 38:5 jie 38:9 wu | 37:7 tao 3388::55 gu 38:9 A. chuo | 37:7 XT 3388::55 si 38:9 B. er
445,\bjie\b,,,,38:17 niang 40:5 guan 40:13 huan | 38:17 xian 40:5 zhou 40:16 chong | 39:0 zT 40:5 A. ding 40:17 bao | 39:0 jie 40:5 B. ding 41:0 cun | 39:1 kdng 40:5 A. wan 41:3 si | 39:2 yun 40:5 B. yuan 41:6 feng
446,\bhu\b,,,,43:4 a. mang 46:5 xiu 46:13 suT | 43:4 b. pang 46:5 dai 46:14 A. yi | 43:4 wang 46:5 yue 46:14 B. ni | 43:9 Jiu 46:5 hu 46:14 ling | 44:0 shT 46:5 mui 46:14 a. yu | 44:1 yln 46:5 an 46:14 b. xu
446,\bjie\b,,,,44:4 ju 46:7 feng 46:19 dian | 44:4 pi 46:7 xian 46:20 yan | 44:5 ju 46:7 dao 47:0 kun | 44:5 jie 46:7 jun 47:0 chuan | 44:5 qu 46:7 xia 47:3 zhou | 44:6 wu 46:8 kong 47:4 xun
447,\bjie\b,,,,50:5 bo 53:2 pi 53:12 guang | 50:6 di 53:4 bi 53:13 kuai | 50:6 yi 53:4 chuang 53:13 qiaiig | 50:6 Aa. shuai 53:4 xu 53:13 a. jie | 50:6 Ab. shuo 53:5 dl 53:13 b. xie | 50:6 B. shuai 53:5 pao 53:13 lln
449,\bhun\b,,,,61:6 hui 61:8 dun 61:10 AA . xvii | 61:6 huT 61:8 wan 61:10 B. kai | 61:6 n 61:8 ji 61:10 yuan | 61:6 xu 61:8 Ian 61:10 hun | 61:6 chT 61:8 huo 61:10 li | 61:6 hen 61:8 fl 61:10 tao
449,\bhu\b,,,,61:6 hen 61:8 fl 61:10 tao | 61:6 en 61:8 w&ng 61:10 ym | 61:6 a. ke 61:8 chuo 61:10 ci | 61:6 b. que 61:8 hu 61:10 xu | 61:6 A. tong 61:8 hun 61:10 A. qian | 61:6 B. d6ng 61:8 XT 61:10 B. qie
449,\bhun\b,,,,61:6 en 61:8 w&ng 61:10 ym | 61:6 a. ke 61:8 chuo 61:10 ci | 61:6 b. que 61:8 hu 61:10 xu | 61:6 A. tong 61:8 hun 61:10 A. qian | 61:6 B. d6ng 61:8 XT 61:10 B. qie | 61:6 tian 61:8 w6i 61:10 tai
450,\bhu\b,,,,61:11 wei 61:13 mao 62:11 lii | 61:11 tuan 61:13 yi 62:12 zhan | 61:11 qian 61:13 lln 62:13 A. xi | 61:11 zhe 61:14 yan 62:13 B. hu | 61:11 a. yong 61:14 dui 62:14 chuo | 61:11 b. yong 61:14 men 62:14 dai
450,\bhu\b,,,,61:11 zhe 61:14 yan 62:13 B. hu | 61:11 a. yong 61:14 dui 62:14 chuo | 61:11 b. yong 61:14 men 62:14 dai | 61:11 qing 61:14 A. nuo 63:0 hu | 61:11 a. kang 61:14 B. ru 63:1 e | 61:11 b. k^ng 61:15 zhi 63:4 hu
450,\bhu\b,,,,61:11 b. yong 61:14 men 62:14 dai | 61:11 qing 61:14 A. nuo 63:0 hu | 61:11 a. kang 61:14 B. ru 63:1 e | 61:11 b. k^ng 61:15 zhi 63:4 hu | 61:11 qT 61:15 ydu 63:4 A.li | 61:11 yu 61:15 mie 63:4 B. li
450,\bhu\b,,,,61:11 you 61:15 cheng 63:4 A. fang | 61:11 chong 61:16 mSng 63:4 B. pang | 61:11 bei 61:16 ten 63:4 sud | 61:12 bie 61:16 hu^i 63:5 A. pian | 61:12 jiao 61:16 xuan 63:5 B. biSn | 61:12 zeng 61:17 chan 63:5 jiong
450,\bhu\b,,,,61:12 ping 61:18 huan 63:6 yT | 61:12 kui 61:18 a. zh6 63:6 A.sh5n | 61:12 qiao 61:18 b. she 63:6 B. shan | 61:12 yin 61:18 yi 63:7 hu | 61:12 xT 61:19 lian 63:8 fei | 61:12 dan 61:19 n^n 63:8 ya\n
450,\bhu\b,,,,61:12 qi 62:1 b. mou 64:2 da | 61:12 jlng 62:1 xu 64:3 gang | 61:12 A. wu 62:2 shu 64:3 ban | 61:12 B. hu 62:3 r6ng 64:3 kou | 61:12 c£n 62:3 cheng 64:4 niu | 61:12 xian 62:3 w6 64:4 A. pan
450,\bjie\b,,,,61:12 B. hu 62:3 r6ng 64:3 kou | 61:12 c£n 62:3 cheng 64:4 niu | 61:12 xian 62:3 w6 64:4 A. pan | 61:13 yi 62:3 jie 64:4 B. ban | 61:13 xian 62:4 can 64:4 fu | 61:13 dan 62:4 a. qiang 64:4 PT
450,\bjie\b,,,,61:13 xie 62:9 kan 64:4 A. w6n | 61:13 A. ylng 62:9 ji 64:4 B. wen | 61:13 B. ying 62:9 km 64:4 jue | 61:13 ao 62:10 jie 64:4 A.ba
